,incident_date,state,city_or_county,address,killed,injured
1470,May 15 2021,Illinois,Chicago,7800 block of S Loomis St,2,3.0
1472,May 13 2021,Georgia,Augusta,201 E Telfair St,2,2.0
1473,May 13 2021,District of Columbia,Washington,200 block of 37th Pl SE,0,4.0
1474,May 13 2021,Rhode Island,Providence,87 Carolina Ave,0,8.0
1476,May 12 2021,Pennsylvania,Philadelphia,5500 block of Kingsessing Ave,1,3.0
1478,May 10 2021,Alabama,Montgomery,3804 S Court St,0,7.0
1484,May 9 2021,Pennsylvania,Philadelphia,100 block of E Albanus St,2,3.0
1486,May 8 2021,California,Oakland,1440 block of Lakeshore Ave,0,4.0
1488,May 8 2021,Michigan,Detroit,15700 block of Plymouth Rd,0,4.0
1489,May 8 2021,California,Compton,15100 block of S Lime Ave,2,2.0
1492,May 6 2021,New Jersey,Paterson,22nd Ave and E 30th St,0,5.0
1494,May 3 2021,Michigan,Saginaw,1315 Randolph St,1,4.0
1496,May 2 2021,Pennsylvania,Philadelphia,5200 block of Burton St,1,3.0
1497,May 2 2021,Maryland,Baltimore,1500 block of Washington Blvd,1,3.0
1499,May 2 2021,Minnesota,Saint Paul,843 Selby Ave,0,4.0
1500,May 1 2021,Delaware,Wilmington,800 block of N Pine St,0,4.0
1501,May 1 2021,Louisiana,New Orleans,St Bernard Ave and N Claiborne Ave,2,4.0
1503,May 1 2021,Massachusetts,Holyoke,209 South St,0,5.0
1505,April 29 2021,Georgia,Atlanta,2300 block of Polar Rock Terrace SW,1,5.0
1508,April 27 2021,Virginia,Richmond,4000 Midlothian Turnpike,2,3.0
1513,April 25 2021,Missouri,Kansas City,E 18th St and Vine St,1,4.0
1515,April 25 2021,Arkansas,Little Rock,1900 E 6th St,1,3.0
1517,April 22 2021,California,San Diego,500 block of J St,1,4.0
1521,April 18 2021,Michigan,Detroit,Ward Ave and W McNichols Rd,1,5.0
1523,April 18 2021,Wisconsin,Kenosha,1548 Sheridan Rd,3,3.0
1527,April 15 2021,Indiana,Indianapolis,8951 Mirabel Rd,9,7.0
1530,April 15 2021,Florida,Pensacola,700 Truman Ave,0,6.0
1531,April 15 2021,Illinois,Chicago,600 block of N Sawyer Ave,0,4.0
1535,April 11 2021,Washington,Seattle,306 23rd Ave S,0,4.0
1537,April 10 2021,Michigan,Allendale,4926 Becker Dr,0,4.0
1541,April 8 2021,Texas,Bryan,350 Stone City Dr,1,5.0
1542,April 7 2021,South Carolina,Rock Hill,4456 Marshall Rd,7,0.0
1543,April 7 2021,Wisconsin,Milwaukee,2627 W Capitol Dr,2,3.0
1546,April 6 2021,Michigan,Detroit,6100 block of Lodewyck St,1,3.0
1547,April 5 2021,Illinois,Chicago,6800 block of S Justine Ave,0,7.0
1550,April 4 2021,Alabama,Birmingham,3969 14th Ave N,1,5.0
1552,April 3 2021,North Carolina,Wilmington,718 Kidder St,3,4.0
1562,March 27 2021,Illinois,Chicago,500 block of N Leamington Ave,0,4.0
1563,March 27 2021,Mississippi,Yazoo City,Dr Martin Luther King Jr Dr and Shady Dr,0,6.0
1565,March 26 2021,Virginia,Virginia Beach,2000 block of Atlantic Ave,0,9.0
1567,March 26 2021,Virginia,Norfolk,100 block of W Balview Ave,0,4.0
1568,March 26 2021,Tennessee,Memphis,500 block of Arrington Ave,3,2.0
1569,March 26 2021,Pennsylvania,Philadelphia,1080 N Delaware Ave,0,7.0
1571,March 22 2021,Colorado,Boulder,3600 Table Mesa Dr,10,1.0
1572,March 22 2021,Michigan,Detroit,13300 block of Davidson St,1,3.0
1574,March 20 2021,Texas,Dallas,10333 Technology Blvd,1,7.0
1576,March 18 2021,Oregon,Gresham,750 E Powell Blvd,0,4.0
1577,March 18 2021,Louisiana,New Orleans,2400 Annette St,0,4.0
1579,March 16 2021,Georgia,Acworth,6468 Hwy 92,8,1.0
1580,March 16 2021,Arizona,Phoenix,6215 W Elm St,4,1.0
1581,March 15 2021,Indiana,Indianapolis,2300 block of N Harding St,1,4.0
1584,March 14 2021,Illinois,Chicago,6798 block of S South Chicago Ave,2,13.0
1587,March 13 2021,Indiana,Indianapolis,300 block of N Randolph St,4,1.0
1589,March 12 2021,North Carolina,Greensboro,100 block of Huffman St,1,3.0
1590,March 12 2021,Texas,Austin,7408 Cameron Rd,0,4.0
1592,March 11 2021,Pennsylvania,Philadelphia,1400 block of N 76th St,2,2.0
1594,March 8 2021,Florida,Clearwater,US-19 ALT and Drew St,1,3.0
1595,March 7 2021,Mississippi,Edwards,607 Wallace Dr,0,4.0
1596,March 6 2021,California,Yuba City,Countryside Dr and Littlejohn Dr,2,3.0
1599,March 4 2021,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,0,5.0
1600,March 3 2021,Pennsylvania,Erie,2105 Buffalo Rd,2,3.0
1604,February 28 2021,South Carolina,Mccormick,437 Talbert Rd,0,4.0
1609,February 26 2021,Texas,Houston,8708 Beechnut St,1,5.0
1612,February 21 2021,Missouri,Kennett,1615 1st St,1,4.0
1615,February 20 2021,Colorado,Grand Junction,1000 block of Teller Ave,1,3.0
1617,February 20 2021,Louisiana,Metairie,6719 Airline Dr,3,2.0
1621,February 13 2021,California,San Francisco,3rd St and Quesada Ave,0,6.0
1625,February 11 2021,Georgia,Columbus,2001 South Lumpkin Rd,1,4.0
1626,February 10 2021,Georgia,Atlanta,62 Harwell Rd NW,0,4.0
1628,February 9 2021,Minnesota,Buffalo,755 Crossroads Campus Dr,1,4.0
1630,February 6 2021,Louisiana,Thibodaux,1100 block of Tiger Dr,0,4.0
1631,February 6 2021,Illinois,Bloomingdale,250 W Schick Rd,1,5.0
1632,February 6 2021,Washington,Tacoma,3634 E McKinley Ave,1,3.0
1633,February 5 2021,Pennsylvania,Mohnton,360 E Wyomissing Ave,1,3.0
1634,February 5 2021,Mississippi,Benoit,1017 Lake Bolivar Rd,3,1.0
1638,February 2 2021,Florida,Fort Lauderdale (Sunrise),10100 Reflections Blvd W,3,3.0
1641,January 31 2021,Illinois,Chicago,W Congress Pkwy and S Independence Blvd,0,4.0
1642,January 30 2021,New York,Albany,200 block of Central Ave,1,4.0
1647,January 24 2021,Indiana,Indianapolis,3540 Adams St,5,1.0
1648,January 24 2021,Nevada,Las Vegas,W Wilson Ave and H St,0,5.0
1649,January 22 2021,Kentucky,Covington,217 E Martin Luther King Jr Blvd,0,5.0
1650,January 21 2021,California,Oakland,107th Ave and Apricot St,1,3.0
1651,January 18 2021,Pennsylvania,Tobyhanna,960 PA-196,0,4.0
1653,January 17 2021,Arizona,Phoenix,2236 E University Dr,1,6.0
1655,January 15 2021,Pennsylvania,Philadelphia,5000 block of N 10th St,0,4.0
1657,January 9 2021,Illinois,Evanston,100 Asbury Ave,6,2.0
1659,January 7 2021,District of Columbia,Washington,1300 block of Columbia Rd NW,0,5.0
1665,January 3 2021,Oregon,Gresham,NE 181st Ave and NE San Rafael St,0,4.0
1667,January 3 2021,Florida,Miami,3632 NW 25th Ave,0,6.0
1669,January 3 2021,California,Santa Barbara,1200 block of Liberty St,2,2.0
1671,January 1 2021,Arkansas,Fort Smith,3211 Towson Ave,0,7.0
1672,January 1 2021,Texas,Amarillo,2650 Dumas Dr,1,3.0
1673,January 1 2021,Iowa,Sioux City,2637 S Walker St,1,4.0
1674,January 1 2021,Illinois,Galesburg,1000 block of Monroe St,0,4.0
1675,December 31 2020,Indiana,Indianapolis,8215 Center Run Road,1,3.0
1676,December 31 2020,Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4.0
1677,December 26 2020,Illinois,Rockford,4007 E State St,3,3.0
1679,December 26 2020,Massachusetts,Lynn,Washington St and Quincy Ter,1,5.0
1681,December 25 2020,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4.0
1682,December 25 2020,Arkansas,Atkins,5180 Pine Ridge Rd,5,0.0
1684,December 22 2020,Mississippi,Meridian,Jeffrey Acres Rd,5,0.0
1685,December 20 2020,Connecticut,Bridgeport,456 Connecticut Ave,2,2.0
1688,December 12 2020,California,San Bernardino,900 block of N Sierra Way,1,3.0
1691,December 12 2020,Maryland,Hyattsville (Landover),8600 block of Old Ardmore Rd,2,2.0
1692,December 10 2020,Georgia,Tifton,700 block of 17 1/2 St,0,4.0
1693,December 10 2020,Mississippi,Jackson,1805 Hospital Dr,0,5.0
1695,December 8 2020,Louisiana,Lacombe,28399 Palmer Dr,2,3.0
1696,December 6 2020,Texas,Venus,6100 N FM 157,0,6.0
1697,December 5 2020,California,Hayward,25000 block of Eldridge Ave,1,3.0
1698,December 5 2020,North Carolina,Autryville,10101 Gip Rd,0,6.0
1699,December 4 2020,Illinois,Chicago,4400 block of W Adams St,0,4.0
1700,December 1 2020,Pennsylvania,Morrisville,1 Makefield Rd,1,3.0
1701,November 30 2020,Alaska,Palmer,335 N Valley Way,4,0.0
1705,November 28 2020,South Carolina,Conway,3800 block of Golden Key Rd,0,5.0
1707,November 27 2020,Georgia,Macon,425 Cherry St,1,5.0
1709,November 26 2020,Nevada,Henderson,870 E Lake Mead Pkwy,1,5.0
1711,November 22 2020,New York,Brooklyn,15 Albany Ave,1,6.0
1712,November 22 2020,Illinois,Chicago,700 block of E 101st St,1,3.0
1714,November 21 2020,Illinois,Chicago,W 79th St and S Justine St,0,6.0
1715,November 21 2020,Arizona,Phoenix,35th Ave and Earll Dr,1,4.0
1716,November 21 2020,Nebraska,Bellevue,1307 Cornhusker Rd,2,2.0
1721,November 17 2020,Tennessee,Jackson,Honey Bear Cove,0,4.0
1722,November 16 2020,Florida,Miami,200 block of S Biscayne River Dr,0,4.0
1723,November 16 2020,Illinois,Chicago,700 block of S Pulaski Rd,0,4.0
1726,November 15 2020,Georgia,Jonesboro,Museum Cir,2,2.0
1727,November 14 2020,South Carolina,Sumter,1008 Marilyn Ave,3,1.0
1728,November 14 2020,Missouri,Fulton,1915 N Bluff St,0,4.0
1731,November 12 2020,Florida,Tampa,1200 block of E Palifox St,2,4.0
1737,November 7 2020,Kansas,Ogden,225 Riley Ave,0,4.0
1738,November 7 2020,South Carolina,Rock Hill,241 Albright Rd,1,3.0
1740,November 5 2020,Ohio,Toledo,2125 Parkwood Ave,3,2.0
1743,November 2 2020,Ohio,Mansfield,136 Sturges Ave,0,5.0
1744,November 1 2020,South Carolina,Hollywood,7800 block of White Point Rd,0,6.0
1745,November 1 2020,Indiana,Evansville,664 E Illinois St,0,4.0
1748,November 1 2020,Arizona,Tucson,2500 block of E Aerospace Parkway,2,2.0
1749,November 1 2020,New Jersey,Atlantic City,2721 Arctic Ave,1,4.0
1750,October 31 2020,California,Sacramento,2800 block of Normington Dr,0,4.0
1751,October 31 2020,Washington,Sumner,127th Ave E and Valley Ave E,0,5.0
1752,October 31 2020,California,Anaheim,1210 S State College Blvd,0,4.0
1753,October 31 2020,Nevada,North Las Vegas,3700 block of Iverson Ln,0,4.0
1754,October 31 2020,Maryland,College Park,7700 Baltimore Ave,0,7.0
1757,October 29 2020,Florida,Winter Garden,Center St and 11th St,0,4.0
1760,October 25 2020,Texas,Fort Worth,1900 block of Carver Ave,2,3.0
1763,October 24 2020,Mississippi,Greenwood,W Martin Luther King Dr,2,8.0
1766,October 22 2020,Massachusetts,Boston,Columbia Rd and Stanwood St,0,4.0
1767,October 22 2020,Maryland,Baltimore,500 block of W Franklin St,0,4.0
1771,October 19 2020,Ohio,Mansfield,136 Sturges Ave,0,5.0
1774,October 18 2020,Illinois,Chicago,200 block of N Sacramento Blvd,1,4.0
1776,October 17 2020,New York,Lockport,43 S Niagara St,1,5.0
1777,October 17 2020,South Carolina,Rock Hill,524 N Anderson Rd,0,5.0
1781,October 16 2020,California,San Francisco,200 block of Scherwin St,1,3.0
1782,October 15 2020,Louisiana,Lafayette,100 block of Laser Ln,2,2.0
1784,October 14 2020,Pennsylvania,Philadelphia,3900 block of  Buist Ave,0,4.0
1785,October 12 2020,South Carolina,Myrtle Beach,1012 US-501,2,3.0
1786,October 11 2020,Georgia,Atlanta,330 W Peachtree St NW,0,4.0
1788,October 10 2020,South Carolina,Kingstree,55 Williamsburg County Hwy,0,8.0
1789,October 10 2020,Missouri,Saint Louis (Jennings),8800 block of Shannon Fox Cir,2,2.0
1791,October 7 2020,Alaska,Anchorage,200 block of McCarrey St,1,4.0
1793,October 5 2020,District of Columbia,Washington,400 block of Orange St SE,1,3.0
1795,October 4 2020,Georgia,Atlanta,1570 Joseph E Boone Blvd NW,1,5.0
1798,October 2 2020,California,Los Angeles,51st St and Hoover St,0,4.0
1799,October 2 2020,Washington,Seattle,9700 block of 59th Ave S,0,4.0
1800,October 1 2020,Michigan,Detroit,15018 Houston Whittier St,0,5.0
1801,September 30 2020,North Carolina,Greensboro,700 block of Milton St,0,4.0
1803,September 30 2020,Wisconsin,Milwaukee,4217 W Fond du Lac Ave,0,7.0
1806,September 28 2020,Michigan,Detroit,6609 Michigan Ave,0,6.0
1808,September 27 2020,California,San Bernardino,900 block of N Sierra Way,1,3.0
1810,September 26 2020,Pennsylvania,Philadelphia,100 block of N Lindenwood St,0,4.0
1811,September 26 2020,Alabama,Enterprise,507 Glover Ave,1,3.0
1816,September 23 2020,Georgia,Hampton,1577 Glynn Ct,1,3.0
1818,September 21 2020,Ohio,Struthers,111 Perry St,1,4.0
1819,September 20 2020,New York,Corona (Queens),Merrick Blvd and Foch Blvd,0,4.0
1820,September 20 2020,Connecticut,Stamford,Ursula Pl and Dale St,1,3.0
1821,September 19 2020,New York,Buffalo,Glenwood Ave and Jefferson Ave,1,4.0
1822,September 19 2020,Illinois,Chicago,12200 block of S May St,0,4.0
1827,September 19 2020,Arkansas,West Memphis,900 block of Winchell St,0,5.0
1830,September 15 2020,California,San Jose,600 block of S 8th St,2,4.0
1831,September 15 2020,Illinois,Chicago,3500 block of W Lawrence Ave,0,5.0
1833,September 13 2020,Tennessee,Manchester,I-24 and McMinnville Hwy,3,3.0
1834,September 13 2020,Michigan,Grand Rapids,3950 Stahl Dr SE,0,7.0
1837,September 13 2020,New Jersey,New Brunswick,32 Delafield St,2,7.0
1838,September 12 2020,Illinois,Chicago,100 block of N Pine Ave,2,4.0
1840,September 12 2020,Pennsylvania,Philadelphia,N 18th St and Dauphin St,0,4.0
1842,September 10 2020,Louisiana,New Orleans,4100 block of Rayne Dr,3,2.0
1843,September 8 2020,Maryland,Baltimore,2300 block of Greenmount Ave,0,5.0
1845,September 7 2020,New York,Brooklyn,Norstrand Ave and Crown St,0,5.0
1846,September 7 2020,California,Aguanga,45125 Highway 371,7,0.0
1847,September 7 2020,Indiana,Indianapolis,W 38th St and Graceland Ave,1,4.0
1848,September 6 2020,Georgia,Sparta,Faye St and Lee St,1,6.0
1849,September 6 2020,Illinois,Chicago,S Kingston Ave and E 77th St,0,4.0
1850,September 6 2020,Tennessee,Memphis,6555 Lost Oak Dr,0,4.0
1851,September 6 2020,Colorado,Commerce City,6700 block of Birch St,0,4.0
1852,September 6 2020,Missouri,Kansas City,3999 Swope Pkwy,0,6.0
1855,September 6 2020,Maryland,Baltimore,4900 block of Reisterstown Rd,0,4.0
1856,September 5 2020,Texas,Houston,9940 Fondren Rd,0,4.0
1857,September 5 2020,Maryland,Baltimore,2000 block of W Lexington St,1,3.0
1861,September 3 2020,Florida,Miami,2000 block of NW 71st St,1,3.0
1865,September 2 2020,Pennsylvania,Philadelphia,1800 block of Moore St,2,2.0
1866,September 2 2020,Georgia,Albany,1400 block of E Residence Ave,1,3.0
1867,September 2 2020,California,Oakland,Kerwin Ave and 105th Ave,0,4.0
1871,August 30 2020,Illinois,Zion,2300 block of Joppa Ave,1,3.0
1872,August 30 2020,Texas,San Antonio,S Olive St and Aransas Ave,2,2.0
1873,August 30 2020,New York,Buffalo,500 block of Fillmore Ave,1,4.0
1875,August 30 2020,Illinois,Chicago,11601 S Western Ave,1,4.0
1877,August 29 2020,Nevada,Las Vegas,777 E Twain Ave,2,2.0
1881,August 28 2020,Texas,Dallas,2600 block of Elm St,1,4.0
1882,August 27 2020,Oregon,Portland,10500 block of NE Halsey St,1,3.0
1883,August 26 2020,Michigan,Pontiac,252 Carriage Circle Dr,3,1.0
1889,August 24 2020,California,Sacramento,1200 block of Helena Ave,1,3.0
1892,August 23 2020,Arkansas,Pine Bluff,2901 W 28th Ave,0,7.0
1894,August 23 2020,Tennessee,Somerville,1100 block of Brewer Rd,1,4.0
1896,August 23 2020,Illinois,Champaign,100 block of Kenwood Rd,0,4.0
1897,August 23 2020,Illinois,Chicago,6600 S Halsted St,0,4.0
1898,August 22 2020,Illinois,Rockford,1300 block of 10th St,1,3.0
1899,August 22 2020,Alabama,Bessemer (Hueytown),Allison Bonnet Memorial Dr and Rutledge Dr,1,3.0
1900,August 19 2020,Pennsylvania,Philadelphia,700 block of S 55th St,0,4.0
1902,August 18 2020,Pennsylvania,Philadelphia,30th St and Cumberland St,1,4.0
1903,August 18 2020,New York,Corona (Queens),35-35 21st St,0,4.0
1904,August 18 2020,Illinois,Rockford,3001 Harney Ct,0,4.0
1906,August 17 2020,New York,Brooklyn,Atlantic Ave and Hinsdale St,0,4.0
1910,August 16 2020,Kentucky,Lexington,1000 block of Newtown Ct,1,3.0
1912,August 16 2020,Colorado,Denver,W Alameda Ave and S Federal Blvd,2,4.0
1916,August 15 2020,New York,Rochester,501 Thurston Rd,0,5.0
1917,August 15 2020,Connecticut,New Haven,Rosette St and Hurlburt St,1,5.0
1918,August 15 2020,Alabama,Troy,4100 US-231 S,2,3.0
1921,August 12 2020,Ohio,Dayton,2049 Catalpa Dr,1,3.0
1922,August 11 2020,California,Torrance,22904 Lockness Ave,0,5.0
1924,August 9 2020,Ohio,Toledo,Monroe St and N Detroit Ave,0,6.0
1925,August 9 2020,District of Columbia,Washington,3300 block of Dubois Pl SE,1,21.0
1927,August 9 2020,Texas,Houston,9700 Homestead Rd,0,4.0
1931,August 8 2020,Alabama,Birmingham (Ensley),426 18th St,1,5.0
1936,August 4 2020,District of Columbia,Washington,5400 block of Georgia Ave NW,0,4.0
1937,August 4 2020,California,Beverly Hills,13200 Mulholland Dr,1,4.0
1946,August 1 2020,Alabama,Montgomery,1100 block of Eastern Blvd,0,4.0
1947,July 31 2020,Pennsylvania,Philadelphia,2500 block of Ingersoll St,2,2.0
1953,July 28 2020,Delaware,Wilmington,1100 block of Beech St,2,2.0
1956,July 27 2020,Illinois,Chicago,705 E 92nd Pl,1,4.0
1957,July 26 2020,Michigan,Flint,4462 Corunna Rd,1,3.0
1959,July 26 2020,Kentucky,Louisville,I-64,1,3.0
1960,July 26 2020,Colorado,Commerce City,6300 block of Ivanhoe St,1,3.0
1961,July 26 2020,Arkansas,Magnolia,1000 block of W Monroe St,0,4.0
1962,July 25 2020,Michigan,Flint,4813 Clio Rd,0,6.0
1969,July 23 2020,Virginia,Fairfield,3700 block of Meadowbridge Rd,1,3.0
1970,July 23 2020,Virginia,Petersburg,Wesley St,0,4.0
1972,July 22 2020,Michigan,Warren,28200 block of Lawson St,0,4.0
1973,July 21 2020,Illinois,Chicago,1018 W 79th St,0,15.0
1975,July 20 2020,Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5.0
1976,July 19 2020,Michigan,Detroit,McKinney St and Meuse St,1,3.0
1979,July 19 2020,Illinois,Chicago,11300 block of South Carpenter St,2,3.0
1982,July 18 2020,Illinois,Chicago,1600 block of S Keeler Ave,1,4.0
1984,July 17 2020,Florida,Madison,SW Louisiana Terrace,0,4.0
1985,July 16 2020,Tennessee,Nashville,S 7th St and Sylvan St,0,5.0
1988,July 14 2020,Missouri,Saint Joseph,S 18th St and Charles St,0,5.0
1990,July 13 2020,New York,Brooklyn,Remsen Ave,0,6.0
1994,July 12 2020,New York,Brooklyn,Madison St and Marcus Garvey Blvd,1,3.0
1995,July 12 2020,Michigan,Lansing,3029 BeauJardin Dr,0,5.0
1997,July 12 2020,Illinois,Chicago,700 block of W 66th Pl,1,3.0
2001,July 11 2020,Delaware,Wilmington,600 block of N Pine St,0,5.0
2007,July 5 2020,New York,New York (Manhattan),549 Academy St,0,5.0
2008,July 5 2020,South Carolina,Greenville,1701 White Horse Rd,2,8.0
2009,July 5 2020,Arkansas,Helena,1317 Perry St,1,3.0
2012,July 5 2020,Wisconsin,Milwaukee,5800 block of W Hope Ave,0,4.0
2015,July 5 2020,Illinois,Chicago,1500 block of S Millard Ave,1,5.0
2019,July 5 2020,Michigan,Detroit,San Juan Dr and W McNichols Rd,2,4.0
2023,July 4 2020,Massachusetts,Lynn,134 Fayette St,1,4.0
2025,July 4 2020,Illinois,Chicago,6100 block of S Carpenter St,4,4.0
2026,July 4 2020,Louisiana,Baton Rouge,11300 block of Greenwell Springs Rd,0,4.0
2029,July 3 2020,Maryland,Baltimore,700 block of S Woodington Rd,0,4.0
2031,July 2 2020,Massachusetts,Somerville,5 River Rd,0,4.0
2032,July 2 2020,New Jersey,Paterson,N Main St and Jefferson St,1,4.0
2034,July 1 2020,Louisiana,Lake Charles,1600 block of Moss St,0,4.0
2035,June 30 2020,Iowa,Davenport,1400 block of Pershing Ave,0,5.0
2036,June 30 2020,Georgia,Atlanta,Parkway Dr,1,4.0
2041,June 29 2020,California,Sylmar,Osborne St and Foothill Blvd,0,4.0
2046,June 27 2020,California,Red Bluff,10815 State Hwy 99W,3,4.0
2047,June 27 2020,Illinois,Peoria,1400 block of SW Jefferson St,0,4.0
2051,June 26 2020,California,Fresno,Pico Ave,0,4.0
2052,June 26 2020,Arizona,Phoenix,5035 W McDowell Rd,0,4.0
2054,June 25 2020,Connecticut,Bridgeport,527 Huntington Rd,1,3.0
2055,June 24 2020,Tennessee,Jackson,Melwood St,0,4.0
2059,June 22 2020,California,San Francisco,200 block of Leavenworth St,0,5.0
2060,June 22 2020,New York,Brooklyn,Sterling St and Brooklyn Ave,0,5.0
2064,June 22 2020,Illinois,Chicago,5200 block of S Lowe Ave,0,4.0
2065,June 22 2020,Ohio,Columbus,1910 Fountainview Ct,1,4.0
2068,June 21 2020,Minnesota,Minneapolis,2939 Hennepin Ave S,0,11.0
2070,June 21 2020,Texas,Corpus Christi,5802 Everhart Rd,1,3.0
2072,June 21 2020,Illinois,Chicago,2600 block of W Potomac Ave,1,3.0
2073,June 20 2020,New York,Bronx,Mount Eden Pkwy and Monroe Ave,0,4.0
2074,June 20 2020,New York,Syracuse,Marcellus St and Wyoming St,1,8.0
2076,June 20 2020,Michigan,Saginaw,Livingston Dr and Tausend St,1,3.0
2078,June 20 2020,North Carolina,Pinetops,715 E Lashley St,2,2.0
2079,June 20 2020,New Jersey,Jersey City,Union St and Ocean Ave,1,4.0
2081,June 20 2020,New York,Bronx,Mapes Ave,0,4.0
2083,June 17 2020,Illinois,Chicago,1323 W 76th St,0,4.0
2086,June 14 2020,Minnesota,Minneapolis,328 W Broadway Ave,1,6.0
2087,June 14 2020,Kentucky,Louisville,531 Franklin St,1,4.0
2088,June 14 2020,Louisiana,Lafayette,400 block of Jefferson St,0,5.0
2089,June 14 2020,Louisiana,Lake Charles,3945 US-90,0,4.0
2091,June 13 2020,Arkansas,Rison,Carver St and Center St,0,4.0
2092,June 13 2020,California,Hesperia,8100 block of Julie Ct,0,5.0
2093,June 13 2020,Missouri,Saint Louis,3103 N Grand Blvd,2,4.0
2094,June 13 2020,New York,Wyandanch,76 Grand Blvd,1,7.0
2097,June 13 2020,District of Columbia,Washington,3100 block of Waclark Pl SE,2,5.0
2098,June 12 2020,Pennsylvania,Philadelphia,N Broad St and Colwyn St,0,6.0
2101,June 11 2020,Virginia,Richmond,800 block of N 1st St,0,4.0
2103,June 11 2020,Louisiana,Monroe,1101 Richwood Road 2,6,0.0
2104,June 11 2020,Texas,Houston,5840 Glenmont Dr,2,4.0
2106,June 10 2020,Ohio,Toledo,1100 block of Baker St,1,3.0
2108,June 9 2020,North Carolina,Scotland Neck,E 13th St and Greenwood St,0,5.0
2110,June 9 2020,California,Vallejo,100 block of Cynthia Ave,2,3.0
2116,June 7 2020,Tennessee,Dyersburg,1305 Grant St,0,5.0
2117,June 7 2020,Illinois,Chicago,50 block of S Seeley Ave,1,3.0
2119,June 6 2020,Missouri,Kansas City,E 18th St and Vine St,1,4.0
2122,June 6 2020,Ohio,Ironton,1305 S 3rd St,0,4.0
2124,June 4 2020,Alabama,Valhermoso Springs,522 Talucah Rd,7,0.0
2125,June 2 2020,Texas,Dallas,7460 S Westmoreland Rd,1,3.0
2127,June 2 2020,Illinois,Chicago,8404 S Colfax Ave,0,4.0
2128,June 1 2020,Missouri,Saint Louis,1915 Olive St,0,4.0
2130,May 31 2020,Pennsylvania,Philadelphia,700 block of E Clearfield St,0,4.0
2131,May 30 2020,New Jersey,Paterson,E 23rd St and 10th Ave,0,4.0
2134,May 30 2020,Florida,Altha,21281 Apachee Rd,2,4.0
2138,May 28 2020,Tennessee,Memphis,TN 385 and Kirby Pkwy,0,4.0
2139,May 28 2020,Pennsylvania,Philadelphia,300 block of N 55th St,1,3.0
2140,May 27 2020,Massachusetts,Boston,5 Ames St,1,4.0
2143,May 27 2020,Pennsylvania,Philadelphia,1800 block of Hart Ln,0,4.0
2145,May 26 2020,Pennsylvania,Philadelphia,2700 block of N Darian St,0,4.0
2147,May 26 2020,California,Los Angeles,119th St and Berendo Ave,0,5.0
2150,May 24 2020,Missouri,Saint Louis,Union Boulevard and Cote Brilliante Ave,0,4.0
2151,May 24 2020,Alabama,Danville,70 Flint Creek Pvt Dr,3,1.0
2153,May 23 2020,Texas,Houston,2900 Travis St,0,4.0
2154,May 23 2020,Illinois,Rock Island,800 14 1/2 St,1,4.0
2156,May 23 2020,North Carolina,Charlotte,4900 Block of Albemarle Rd,0,6.0
2157,May 23 2020,Michigan,Flint,4100 block of Minerva St,1,3.0
2158,May 23 2020,Florida,Fort Lauderdale (Lauderhill),7776 NW 44th St,0,5.0
2162,May 22 2020,Ohio,Cleveland,11921 Miles Ave,1,3.0
2163,May 20 2020,Texas,Houston,6918 Landor St,2,3.0
2167,May 17 2020,Maryland,District Heights,6800 block of Atwood St,1,3.0
2170,May 15 2020,Florida,Gainesville,2305 SE Hawthorne Rd,0,5.0
2173,May 13 2020,Illinois,Rockford,2914 W State St,1,4.0
2176,May 11 2020,Alabama,Montgomery,Rosa Parks Ave and Courtland Dr,0,4.0
2177,May 10 2020,Louisiana,Baton Rouge,2944 Plank Rd,0,5.0
2181,May 7 2020,Maryland,Baltimore,5100 block of Stafford Rd,0,4.0
2186,May 3 2020,Florida,Jacksonville,2100 block of Brooklyn Rd,1,3.0
2187,May 3 2020,Illinois,Chicago,3700 W 13th St,0,5.0
2188,May 2 2020,Pennsylvania,Philadelphia,200 block of S Cecil St,0,4.0
2189,April 29 2020,Indiana,Indianapolis,451 E Stop 11 Rd,0,4.0
2190,April 27 2020,Wisconsin,Milwaukee,2800 block of N 12th St,5,0.0
2191,April 26 2020,New York,Troy,Jefferson St and 3rd St,0,4.0
2192,April 26 2020,North Carolina,Salisbury,900 block of E Lafayette St,1,4.0
2195,April 24 2020,Texas,Houston,4714 Ward St,3,1.0
2196,April 24 2020,Indiana,Fort Wayne,3233 Diplomat Dr,0,4.0
2198,April 17 2020,North Carolina,Greensboro,4400 block of Beckford Dr,1,3.0
2202,April 11 2020,California,Bakersfield,Pioneer Rd and Sterling Rd,0,6.0
2203,April 10 2020,Michigan,Muskegon,800 block of Oak St,0,4.0
2204,April 8 2020,Michigan,Detroit,1200 block of Payton St,0,4.0
2206,April 8 2020,Alaska,Anchorage,10600 block of Elmore Rd,0,4.0
2208,April 5 2020,New York,Brooklyn,181 Rockaway Pky,0,4.0
2209,April 5 2020,California,Los Angeles,89th St and Hobart Ave,1,3.0
2212,April 4 2020,Texas,Lubbock,2107 49th St,2,2.0
2214,April 3 2020,Kentucky,Louisville,1000 block of Cecil Ave,0,4.0
