,incident_date,state,city_or_county,address,killed,injured
360,December 8 2022,Michigan,Detroit,1114 Washington Blvd,0,4.0
362,December 6 2022,New York,Bronx,Daly Ave and E 180th St,0,4.0
364,December 4 2022,Illinois,Zion,1800 block of Horeb Ave,0,5.0
365,December 1 2022,Texas,San Antonio,4200 block of S Cibolo St,0,4.0
366,November 30 2022,Louisiana,Lake Charles,510 Broad St,0,8.0
369,November 26 2022,Alabama,Mobile,216 Dauphin St,0,4.0
370,November 26 2022,Georgia,Atlanta,117 17th St NW,2,4.0
371,November 26 2022,Illinois,Chicago,12700 block of S Halsted St,2,2.0
372,November 25 2022,Georgia,Atlanta,2700 block of Gresham Rd,0,0.0
373,November 24 2022,Texas,Houston,1511 Baggett Ln,2,2.0
376,November 23 2022,Pennsylvania,Philadelphia,1901 N 60th St,0,4.0
380,November 20 2022,Texas,Dallas,2000 S Beckley Ave,0,4.0
389,November 12 2022,California,Sacramento,4000 block of May St,0,4.0
391,November 12 2022,California,Indio,Lilac Ct and Golden Rod Dr,1,3.0
393,November 12 2022,Tennessee,Memphis,S Goodlett St and Sheffield Ave,0,4.0
398,November 6 2022,California,Tulare,Rd 84 and Ave 208,0,5.0
399,November 6 2022,Florida,Gainesville,500 SW 2nd Ave,0,4.0
400,November 5 2022,New York,Buffalo,30 E Amherst St,0,4.0
403,November 4 2022,Maryland,La Plata,3018 Wildflower Dr,4,0.0
404,November 3 2022,Illinois,Chicago,3700 block of W Chicago Ave,0,4.0
408,November 1 2022,Maryland,Baltimore,2000 block of W Pratt St,0,4.0
411,October 31 2022,Illinois,Chicago,S California Ave and W Polk St,1,13.0
412,October 30 2022,Tennessee,Memphis,3920 Park Ave,1,3.0
414,October 30 2022,Pennsylvania,Philadelphia,601 Spring Garden St,0,6.0
415,October 30 2022,California,Covina,17000 block of E Bellbrook St,2,2.0
416,October 30 2022,South Carolina,Charleston,1900 Hazelwood Dr,0,4.0
419,October 28 2022,Ohio,Toledo,Junction Ave and Belmont Ave,2,2.0
422,October 25 2022,Ohio,Hamilton,700 block of S 2nd St,2,2.0
